Year,Année,ISO,Jurisdiction,Juridiction,Fire size class,"Classe de superficie à l'extinction",Area (hectares),Data Qualifier,Superficie (en hectare),Qualificatifs de données
1991,1991,YT,Yukon,Yukon,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",45583.66,a,45583.66,a
1991,1991,YT,Yukon,Yukon,10.1 - 100 ha,"10,1 - 100 ha",921.8,a,921.8,a
1991,1991,YT,Yukon,Yukon,100.1 - 1 000 ha,"100,1 - 1 000 ha",10601.53,a,10601.53,a
1991,1991,YT,Yukon,Yukon,1000.1 - 10 000 ha,1000.1 - 10 000 ha,63016.89,a,63016.89,a
1991,1991,YT,Yukon,Yukon,Up to 0.1 ha,"Jusqu'à 0,1 ha",1.59,a,1.59,a
1992,1992,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",131.1,a,131.1,a
1992,1992,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",457,a,457,a
1992,1992,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1179.2,a,1179.2,a
1992,1992,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",1731.4,a,1731.4,a
1992,1992,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'à 0,1 ha",62.6000000000006,a,62.6000000000006,a
1992,1992,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",314.899999999999,a,314.899999999999,a
1992,1992,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",890.900000000001,a,890.900000000001,a
1992,1992,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",2701.8,a,2701.8,a
1992,1992,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",7853.7,a,7853.7,a
1992,1992,BC,British Columbia,Colombie-Britannique,1000.1 - 10 000 ha,1000.1 - 10 000 ha,18537.2,a,18537.2,a
1992,1992,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'à 0,1 ha",154.299999999996,a,154.299999999996,a
1992,1992,MB,Manitoba,Manitoba,0.11 - 1.0 ha,"0,11 - 1 ha",47.2,a,47.2,a
1992,1992,MB,Manitoba,Manitoba,1.1 - 10 ha,"1,1 - 10 ha",304.9,a,304.9,a
1992,1992,MB,Manitoba,Manitoba,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",270806,a,270806,a
1992,1992,MB,Manitoba,Manitoba,10.1 - 100 ha,"10,1 - 100 ha",1420.7,a,1420.7,a
1992,1992,MB,Manitoba,Manitoba,100.1 - 1 000 ha,"100,1 - 1 000 ha",5560,a,5560,a
1992,1992,MB,Manitoba,Manitoba,1000.1 - 10 000 ha,1000.1 - 10 000 ha,30369.3,a,30369.3,a
1992,1992,MB,Manitoba,Manitoba,Over 100 000 ha,Plus de 100 000 ha,125260,a,125260,a
1992,1992,MB,Manitoba,Manitoba,Up to 0.1 ha,"Jusqu'à 0,1 ha",5.7,a,5.7,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,0.11 - 1.0 ha,"0,11 - 1 ha",95.4,a,95.4,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,1.1 - 10 ha,"1,1 - 10 ha",408.7,a,408.7,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,10.1 - 100 ha,"10,1 - 100 ha",662.3,a,662.3,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,100.1 - 1 000 ha,"100,1 - 1 000 ha",1181,a,1181,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,1000.1 - 10 000 ha,1000.1 - 10 000 ha,3035,a,3035,a
1992,1992,NB,New Brunswick,Nouveau-Brunswick,Up to 0.1 ha,"Jusqu'à 0,1 ha",16.5,a,16.5,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,0.11 - 1.0 ha,"0,11 - 1 ha",17,a,17,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,1.1 - 10 ha,"1,1 - 10 ha",55.5,a,55.5,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,10.1 - 100 ha,"10,1 - 100 ha",101.4,a,101.4,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,100.1 - 1 000 ha,"100,1 - 1 000 ha",1635,a,1635,a
1992,1992,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Up to 0.1 ha,"Jusqu'à 0,1 ha",0.8,a,0.8,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,0.11 - 1.0 ha,"0,11 - 1 ha",44.33,a,44.33,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,1.1 - 10 ha,"1,1 - 10 ha",103.69,a,103.69,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,10.1 - 100 ha,"10,1 - 100 ha",217.26,a,217.26,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,100.1 - 1 000 ha,"100,1 - 1 000 ha",787.19,a,787.19,a
1992,1992,NS,Nova Scotia,Nouvelle-Ecosse,Up to 0.1 ha,"Jusqu'à 0,1 ha",7.13999999999998,a,7.13999999999998,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,0.11 - 1.0 ha,"0,11 - 1 ha",54.2,a,54.2,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,1.1 - 10 ha,"1,1 - 10 ha",249.45,a,249.45,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,10.1 - 100 ha,"10,1 - 100 ha",730.5,a,730.5,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,100.1 - 1 000 ha,"100,1 - 1 000 ha",9404,a,9404,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,1000.1 - 10 000 ha,1000.1 - 10 000 ha,26508,a,26508,a
1992,1992,NT,Northwest Territories,Territoires du Nord-Ouest,Up to 0.1 ha,"Jusqu'à 0,1 ha",3.3,a,3.3,a
1992,1992,ON,Ontario,Ontario,0.11 - 1.0 ha,"0,11 - 1 ha",188.400002034001,a,188.400002034001,a
1992,1992,ON,Ontario,Ontario,1.1 - 10 ha,"1,1 - 10 ha",622.700000406,a,622.700000406,a
1992,1992,ON,Ontario,Ontario,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",131450,a,131450,a
1992,1992,ON,Ontario,Ontario,10.1 - 100 ha,"10,1 - 100 ha",1382.30000019,a,1382.30000019,a
1992,1992,ON,Ontario,Ontario,100.1 - 1 000 ha,"100,1 - 1 000 ha",4966,a,4966,a
1992,1992,ON,Ontario,Ontario,1000.1 - 10 000 ha,1000.1 - 10 000 ha,37385,a,37385,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,0.11 - 1.0 ha,"0,11 - 1 ha",5,a,5,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,1000.1 - 10 000 ha,"1 000,1 - 10 000 ha",0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,1.1 - 10 ha,"1,1 - 10 ha",22,a,22,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,10.1 - 100 ha,"10,1 - 100 ha",15,a,15,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,100.1 - 1 000 ha,"100,1 - 1 000 ha",0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Over 100 000 ha,Plus de 100 000 ha,0,a,0,a
1992,1992,PE,Prince Edward Island,Île-du-Prince-Édouard,Up to 0.1 ha,"Jusqu'à 0,1 ha",1,a,1,a
1992,1992,QC,Quebec,Québec,0.11 - 1.0 ha,"0,11 - 1 ha",98.1000000000001,a,98.1000000000001,a
1992,1992,QC,Quebec,Québec,1.1 - 10 ha,"1,1 - 10 ha",447.9,a,447.9,a
1992,1992,QC,Quebec,Québec,10.1 - 100 ha,"10,1 - 100 ha",1213.7,a,1213.7,a
1992,1992,QC,Quebec,Québec,100.1 - 1 000 ha,"100,1 - 1 000 ha",4108,a,4108,a
1992,1992,QC,Quebec,Québec,1000.1 - 10 000 ha,1000.1 - 10 000 ha,21235,a,21235,a
1992,1992,QC,Quebec,Québec,Up to 0.1 ha,"Jusqu'à 0,1 ha",8.79999999999998,a,8.79999999999998,a
1992,1992,SK,Saskatchewan,Saskatchewan,0.11 - 1.0 ha,"0,11 - 1 ha",102.49,a,102.49,a
1992,1992,SK,Saskatchewan,Saskatchewan,1.1 - 10 ha,"1,1 - 10 ha",365.64,a,365.64,a
1992,1992,SK,Saskatchewan,Saskatchewan,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",73337.64,a,73337.64,a
1992,1992,SK,Saskatchewan,Saskatchewan,10.1 - 100 ha,"10,1 - 100 ha",1502.14,a,1502.14,a
1992,1992,SK,Saskatchewan,Saskatchewan,100.1 - 1 000 ha,"100,1 - 1 000 ha",6956.17,a,6956.17,a
1992,1992,SK,Saskatchewan,Saskatchewan,1000.1 - 10 000 ha,1000.1 - 10 000 ha,15480.3,a,15480.3,a
1992,1992,SK,Saskatchewan,Saskatchewan,Up to 0.1 ha,"Jusqu'à 0,1 ha",12.0099999999999,a,12.0099999999999,a
1992,1992,YT,Yukon,Yukon,0.11 - 1.0 ha,"0,11 - 1 ha",12.33,a,12.33,a
1992,1992,YT,Yukon,Yukon,1.1 - 10 ha,"1,1 - 10 ha",37,a,37,a
1992,1992,YT,Yukon,Yukon,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",17766.4,a,17766.4,a
1992,1992,YT,Yukon,Yukon,10.1 - 100 ha,"10,1 - 100 ha",669,a,669,a
1992,1992,YT,Yukon,Yukon,100.1 - 1 000 ha,"100,1 - 1 000 ha",2624.42,a,2624.42,a
1992,1992,YT,Yukon,Yukon,1000.1 - 10 000 ha,1000.1 - 10 000 ha,16704.92,a,16704.92,a
1992,1992,YT,Yukon,Yukon,Up to 0.1 ha,"Jusqu'à 0,1 ha",1,a,1,a
1993,1993,AB,Alberta,Alberta,0.11 - 1.0 ha,"0,11 - 1 ha",135.2,a,135.2,a
1993,1993,AB,Alberta,Alberta,1.1 - 10 ha,"1,1 - 10 ha",594.8,a,594.8,a
1993,1993,AB,Alberta,Alberta,10.1 - 100 ha,"10,1 - 100 ha",1986.4,a,1986.4,a
1993,1993,AB,Alberta,Alberta,100.1 - 1 000 ha,"100,1 - 1 000 ha",6412.6,a,6412.6,a
1993,1993,AB,Alberta,Alberta,1000.1 - 10 000 ha,1000.1 - 10 000 ha,18528.2,a,18528.2,a
1993,1993,AB,Alberta,Alberta,Up to 0.1 ha,"Jusqu'à 0,1 ha",35.0100000000002,a,35.0100000000002,a
1993,1993,BC,British Columbia,Colombie-Britannique,0.11 - 1.0 ha,"0,11 - 1 ha",113.4,a,113.4,a
1993,1993,BC,British Columbia,Colombie-Britannique,1.1 - 10 ha,"1,1 - 10 ha",787.2,a,787.2,a
1993,1993,BC,British Columbia,Colombie-Britannique,10.1 - 100 ha,"10,1 - 100 ha",2253.4,a,2253.4,a
1993,1993,BC,British Columbia,Colombie-Britannique,100.1 - 1 000 ha,"100,1 - 1 000 ha",1972.4,a,1972.4,a
1993,1993,BC,British Columbia,Colombie-Britannique,Up to 0.1 ha,"Jusqu'à 0,1 ha",57.0000000000005,a,57.0000000000005,a
1993,1993,MB,Manitoba,Manitoba,0.11 - 1.0 ha,"0,11 - 1 ha",38,a,38,a
1993,1993,MB,Manitoba,Manitoba,1.1 - 10 ha,"1,1 - 10 ha",240.1,a,240.1,a
1993,1993,MB,Manitoba,Manitoba,10 000.1 - 100 000 ha,"10 000,1 - 100 000 ha",52229,a,52229,a
1993,1993,MB,Manitoba,Manitoba,10.1 - 100 ha,"10,1 - 100 ha",1155,a,1155,a
1993,1993,MB,Manitoba,Manitoba,100.1 - 1 000 ha,"100,1 - 1 000 ha",5145.8,a,5145.8,a
1993,1993,MB,Manitoba,Manitoba,1000.1 - 10 000 ha,1000.1 - 10 000 ha,8461,a,8461,a
1993,1993,MB,Manitoba,Manitoba,Up to 0.1 ha,"Jusqu'à 0,1 ha",5.5,a,5.5,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,0.11 - 1.0 ha,"0,11 - 1 ha",78.1,a,78.1,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,1.1 - 10 ha,"1,1 - 10 ha",240.7,a,240.7,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,10.1 - 100 ha,"10,1 - 100 ha",126.4,a,126.4,a
1993,1993,NB,New Brunswick,Nouveau-Brunswick,100.1 - 1 000 ha,"100,1 - 1 000 ha",318,a,318,a
